question_en,question_ne,response_en,response_ne,intent
What should I do if I have heavy bleeding during my period?,Yadi mero period ma dherai blood loss bhaye k garne?,"If you experience heavy bleeding, use high-absorbency pads or tampons, and if the bleeding lasts more than 7 days or is very heavy, seek medical attention immediately.","Yadi tapaiko dherai blood loss bhaye, long pad ya tampon haru prayog garnu hos, ra yadi blood loss 7 din samma rahi rahyo bhane turunta checkup garna jana parcha.",emergency_health_situation
What should I do if I experience severe pelvic pain?,ekdam pelvic pain bhaye k garne?,Severe pelvic pain could indicate a serious condition like an ovarian cyst rupture or ectopic pregnancy. It's crucial to seek immediate medical care.,Gahiro pelvic dard le ovarian cyst ko phatnu ya ectopic pregnancy jaise gambhir awastha ko sign dina sakchha. Turunt doctor sanga checkup garnu mahatwapurna ho.,emergency_health_situation
What are the signs of an ectopic pregnancy?,Ectopic pregnancy ko signs ke ke ho?,"Symptoms of an ectopic pregnancy may include severe abdominal pain, dizziness, fainting, and shoulder pain. If you suspect this, seek emergency medical help immediately.","Ectopic pregnancy ko lakshan haru ma gahiro pet dard, chakkar aunu, behoshi, ra shoulder pain ho. Yadi yeh samasya cha bhane turunt emergency chikitsa garna jana parcha.",emergency_health_situation
When should I go to the emergency room for cramps?,Mero cramps ko lagi kahile emergency room jana parcha?,"If your cramps are unusually intense, prolonged, or accompanied by symptoms like fever, vomiting, or fainting, it’s time to visit the emergency room.","Yadi tapaiko cramps asadharan roopma gahiro, lamo samayako, ya jwar, ulti, ya behoshi jasta lakshan haru sanga ho bhane emergency room jana parcha.",emergency_health_situation
What should I do if I feel faint during my period?,Yadi maile mahawari ko samayama behoshi jasto mahsoos garchu bhane ke garne?,"Fainting during your period could be due to low blood pressure or anemia. Lie down, drink water, and if it persists, seek medical attention.","Mahawari ko samayama behoshi ko mahsoos low blood pressure ya anemia ko karan huna sakchha. Aram garera, paani piyo ra yadi yeh samasya rahencha bhane chikitsa garna jana parcha.",emergency_health_situation
"what to do if i haave period pain","period ma ekdam bet dukhda k garne","When experiencing severe stomach pain, drink warm water, do light exercises, put hot water bag and take rest. If the pain is too much, consult a doctor!","Pet dherai dukhda, garam pani piune,hot water bag rakhne, halka exercise garne, ra aaram garne. Dherai dukhai bhaye doctor sanga salah garnu!",cramp_question
i feel like i am about to fall?,ma faint hola jasto bhairacha?,"Fainting during your period could be due to low blood pressure or anemia. Lie down, drink water, and if it persists, seek medical attention.","Mahawari ko samayama behoshi ko mahsoos low blood pressure ya anemia ko karan huna sakchha. Aram garera, paani piyo ra yadi yeh samasya rahencha bhane chikitsa garna jana parcha.",emergency_health_situation
What is a miscarriage and when should I go to the doctor?,Miscarriage ke ho ra maile doctor sanga kahile jana parcha?,"A miscarriage is the loss of a pregnancy before 20 weeks. If you experience heavy bleeding, cramping, or discharge, see a doctor immediately.","Miscarriage bhaneko pregnancy tarr rinu ho. Yadi tapaile bhari raktasrava, cramps, ya discharge anubhav garnu bhaye bhane turunt doctor sanga jana parcha.",emergency_health_situation
How can I tell if I’m having an allergic reaction to a medication?,Malai kunai medicine ko allergic reaction bhairako cha bhanera kasari tha paune?,"If you experience symptoms like rash, difficulty breathing, or swelling, it may be an allergic reaction. Seek immediate medical help in case of severe symptoms.","Yadi tapaile rashes, saans lene ma garo, ya soojan ko lakshan feel garnu bhaye bhane allergic reaction huna sakchha. Gahiro lakshan haru cha bhane turunta doctor lai dekhauna parcha.",emergency_health_situation
What should I do if I experience sudden severe abdominal pain?,Achanak ekdam pet dukhe k garne?,"Sudden severe abdominal pain can be a sign of a ruptured cyst, infection, or other serious conditions. Get medical help immediately if the pain is sharp or doesn’t subside.","Achanak gahiro pet dard ovarian cyst ko phatnu, sankraman, ya anya gambhir awastha ko signs ho sakchha. dherai pain bhane turunt doctor sanga kura garna jana parcha.",emergency_health_situation
How do I know if I am at risk for a stroke during pregnancy?,Pregnancy ma stroke ko danger cha bhane ke kasari pata laune?,"Symptoms of a stroke during pregnancy include sudden weakness, numbness, trouble speaking, and severe headache. Seek immediate emergency care if these occur.","Garbhavasthama stroke ko lakshan haru ma achanak kamjori, sujan, kura garna garoee, ra gahiro matha dard sammilit chhan. Yadi yeh lakshan haru dekhna bhaye bhane turunt emergency care garna parcha.",emergency_health_situation
What should I do if I suspect a blood clot?,Yadi maile rakt ko clot bhayeko ho bhane ke garne?,"If you suspect a blood clot, you may experience swelling, redness, or warmth in one leg. Seek medical help immediately, as blood clots can be life-threatening.","Yadi tapaile rakt ko clot bhayeko mahsoos garnu bhaye, tapaile ek jhode sujan, lalima, ya garmi anubhav garna sakchha. Turunt chikitsa garna jana parcha, kina ki rakt ko clot jeevan hani sakchha.",emergency_health_situation
What are the signs of gestational diabetes?,Gestational diabetes ko lakshan ke ke ho?,"Signs of gestational diabetes include excessive thirst, frequent urination, fatigue, and blurred vision. If you experience these, consult your doctor for screening.","Gestational diabetes ko lakshan haru ma atyadhik pyaas, barambar peshab, thakaune, ra dhundhalo dekhne sammilit chhan. Yadi yeh sabai ho bhane doctor sanga check garne.",pregnancy_complication
What causes preeclampsia during pregnancy?,Garbhavasthama preeclampsia ko kaaran ke ho?,Preeclampsia is caused by high blood pressure and organ damage during pregnancy. It can lead to serious complications if left untreated. Seek medical attention if symptoms occur.,Preeclampsia high blood pressure ra organ ko nukhsan ko karan bhayeko ho garbhavasthama. Yadi lakshan haru dekhincha bhane turunt chikitsa garna jana parcha.,pregnancy_complication
How do I know if I have a miscarriage?,Maile miscarriage bhayeko ho bhane ke kasari pata garne?,"Symptoms of a miscarriage include heavy bleeding, cramping, and passing tissue. If you experience these, consult your doctor immediately.","Miscarriage ko lakshan haru bhari raktasrava, cramps, ra tissue nikaliye ko dekhne ho. Yadi yeh sabai ho bhane doctor sanga turunt jana parcha.",pregnancy_complication
What is an ectopic pregnancy and how does it affect the body?,Ectopic pregnancy ke ho ra yo shareerma kasto asar puryaunchha?,"An ectopic pregnancy occurs when the fertilized egg implants outside the uterus, typically in a fallopian tube. This can lead to severe complications and requires immediate treatment.","Ectopic pregnancy tabhi hunchha jab fertilized egg uterus ko bahira, praya fallopian tube ma implant hunchha. Yo gambhir samasya ho ra turunt upachar garna parcha.",pregnancy_complication
What should I do if I have high blood pressure during pregnancy?,Garbhavasthama high blood pressure cha bhane ke garne?,"If you have high blood pressure during pregnancy, your doctor may monitor you regularly and recommend lifestyle changes or medications. Seek medical attention immediately if symptoms worsen.",Garbhavasthama high blood pressure bhaye bhane doctor le tapaiko monitoring garne ra lifestyle changes ya dawa diye sakchha. Yadi lakshan haru garo hunchha bhane turunt doctor sanga jana parcha.,pregnancy_complication
How can I tell if I have a urinary tract infection (UTI) during pregnancy?,Garbhavasthama urinary tract infection (UTI) bhayeko ho bhane ke kasari pata garne?,"Symptoms of a UTI include painful urination, cloudy urine, and a frequent urge to urinate. Consult your doctor if you suspect a UTI during pregnancy.","UTI ko lakshan haru ma peshab garna dard, mandaa peshab, ra barambar peshab janma sammilit chhan. Garbhavasthama UTI bhayeko cha bhane doctor sanga check garne.",pregnancy_complication
What should I do if I experience swelling during pregnancy?,Garbhavasthama sujan bhayeko ho bhane ke garne?,"Swelling is common during pregnancy, but excessive swelling, especially in the hands, face, and legs, could indicate a complication like preeclampsia. Seek medical attention.","Garbhavasthama sujan sadharan ho, tara atyadhik sujan, haath, mukha, ra jhode ma, preeclampsia jasta gambhir samasya ko chinhn ho sakchha. Turunt doctor sanga jana parcha.",pregnancy_complication
What are the risks of a premature birth?,Premature birth ko khatra ke ke ho?,"Premature birth occurs before 37 weeks of pregnancy and may lead to complications such as respiratory issues, underdeveloped organs, and developmental delays.","Premature birth 37 hapta ko agi hunchha ra yo respiratory samasya, purna vikas bhayeko ang, ra vikasma deri haru ko karan huna sakchha.",pregnancy_complication
How can I prevent pregnancy complications?,Garbhavasthama complications ko rokhtham ke garne?,"To reduce the risk of complications, maintain a healthy diet, avoid smoking and alcohol, attend regular prenatal checkups, and follow your doctor's advice.","Garbhavasthama complications ko risk kam garna, swasthya aahar, smoking ra alcohol ko parhej, niyamit prenatal checkups garne, ra doctor ko sala anusaran garne.",pregnancy_complication
What should I do if I have constant abdominal pain during pregnancy?,Garbhavasthama lagatar pet ko dard bhayeko ho bhane ke garne?,"Constant abdominal pain during pregnancy could be a sign of complications like miscarriage, ectopic pregnancy, or placenta issues. Seek medical help immediately.","Garbhavasthama lagatar pet ko dard garbhavasthama miscarriage, ectopic pregnancy, ya placenta ko samasya ko chinhn ho sakchha. Turunt doctor sanga jana parcha.",pregnancy_complication
What is placental abruption and how does it affect pregnancy?,Placental abruption ke ho ra yo garbhavastha ma kasari prabhavit garne?,"Placental abruption occurs when the placenta detaches from the uterine wall before delivery. It can lead to bleeding, preterm birth, or fetal distress. Immediate medical help is required.","Placental abruption tabhi hunchha jab placenta uterus ko diwaro bata delivery ko agadi detach hunchha. Yo raktasrava, premature birth, ya fetal distress ko karan huna sakchha. Turunt chikitsa garna parcha.",pregnancy_complication
What are the signs of a stroke during pregnancy?,Garbhavasthama stroke ko lakshan ke ke ho?,"Signs of a stroke include sudden numbness, difficulty speaking, severe headache, blurred vision, and dizziness. If these occur, seek emergency medical attention immediately.","Stroke ko lakshan haru ma achanak sujan, kura garna garoee, gahiro matha dard, dhundhalo dekhne, ra chakkar aunu sammilit chha. Yadi yeh dekhincha bhane turunt emergency chikitsa garne.",pregnancy_complication
What is a blood clot during pregnancy and how can it be dangerous?,Garbhavasthama rakt ko clot ke ho ra yo kasari khatarnaak hunchha?,Blood clots during pregnancy can form in the legs (deep vein thrombosis) or lungs (pulmonary embolism). They can lead to life-threatening complications like stroke or organ failure.,Garbhavasthama rakt ko clot jhode ma (deep vein thrombosis) ya fefda ma (pulmonary embolism) banne sakchha. Yo stroke ya ang ko akalpan jaise gambhir samasya ko karan huna sakchha.,pregnancy_complication
How do I know if I have a molar pregnancy?,Molar pregnancy bhayeko ho bhane ke kasari pata garne?,"Molar pregnancy occurs when abnormal tissue grows instead of a fetus. It may cause symptoms like nausea, vomiting, and abnormal bleeding. Seek medical help immediately.","Molar pregnancy tabhi hunchha jab asamanya tissue garbhako sthana ma vikas hunchha. Yo nausea, ulti, ra asadharan raktasrava jaise lakshan haru ko karan huna sakchha. Turunt chikitsa garna parcha.",pregnancy_complication
